id	NR	R
GSM3374384_NR	1.10089043371946	-0.100754710071884
GSM3374365_NR	1.00422490872294	-0.00417937892935219
GSM868548_NR	-0.0249089850026083	1.02484342282962
GSM1103657_NR	0.972565243065442	0.0275307872188422
GSM868569_NR	0.0362155137832969	0.963731630674903
GSM3374364_NR	0.0363673245201515	0.963523345084395
GSM1103624_NR	2.01012325426837	-1.00963002642476
GSM3374410_NR	1.00410377528034	-0.00405824603651725
GSM3374381_NR	2.01160166318615	-1.01116196337464
GSM1103649_NR	0.00485654739898911	0.99508094736101
GSM868564_NR	0.500328149462323	0.499699839199784
GSM3374405_NR	1.00710579250235	-0.00705947154647387
GSM3374407_NR	2.1508730632573	-1.15050104764832
GSM3374409_NR	1.00599136308267	-0.0059451543537303
GSM3374380_NR	3.63684812783481	-2.63590788899455
GSM1103640_NR	0.972565243065442	0.0275307872188422
GSM1103658_NR	2.01012325426837	-1.00963002642476
GSM868551_NR	2.04328895090244	-1.04291334476247
GSM3374414_R	0.500328149462323	0.499699839199784
GSM1103646_R	0.221951269942203	0.777904735857841
GSM1103651_R	0.00991880401292211	0.990025242327209
GSM3374370_R	-0.0239999253448164	1.02393477288064
GSM3374386_R	0.358691688616882	0.641222746019608
GSM3374356_R	2.60202218381605	-1.60136618016755
CGSM868575_R	-0.0258920556913931	1.02582625397805
GSM868567_R	0.0311813522162131	0.968761847469808
GSM1103633_R	0.02818721605566	0.971752801015616
GSM3374368_R	0.00408461235335089	0.995713925174871
GSM1103652_R	-0.0268821286412131	1.02681619339402
GSM3374413_R	0.495956904609367	0.504079285380084
GSM868555_R	-0.0267552157912581	1.02668930650961
GSM3374366_R	1.03509981453236	-0.0349599125711326
CGSM3374386_R	0.358691688616882	0.641222746019608
GSM1103644_R	0.00231218346683937	0.997618357244176
GSM3374350_R	1.0074829937628	-0.00743656921675506
CGSM868553_R	0.0107695235331087	0.989174884968861
