id	GSM3374384_NR	GSM3374365_NR	GSM868548_NR	GSM1103657_NR	GSM868569_NR	GSM3374364_NR	GSM1103624_NR	GSM3374410_NR	GSM3374381_NR	GSM1103649_NR	GSM868564_NR	GSM3374405_NR	GSM3374407_NR	GSM3374409_NR	GSM3374380_NR	GSM1103640_NR	GSM1103658_NR	GSM868551_NR	GSM3374414_R	GSM1103646_R	GSM1103651_R	GSM3374370_R	GSM3374386_R	GSM3374356_R	CGSM868575_R	GSM868567_R	GSM1103633_R	GSM3374368_R	GSM1103652_R	GSM3374413_R	GSM868555_R	GSM3374366_R	CGSM3374386_R	GSM1103644_R	GSM3374350_R	CGSM868553_R
PSPH_Epithelialcells	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0
SERPINI1_Epithelialcells	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1
CHST7_Epithelialcells	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0
CRYBB2_Epithelialcells	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0
TNFSF8_Epithelialcells	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
DGCR6_Epithelialcells	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1
IRF7_Epithelialcells	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1
CASP1_Epithelialcells	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1
GZMB_Epithelialcells	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1
OASL_Epithelialcells	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1
MSR1_Epithelialcells	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1
GM2A_Epithelialcells	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1
SLC1A4_Epithelialcells	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1
IFITM1_Epithelialcells	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1
PRF1_Epithelialcells	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0
UAP1L1_Epithelialcells	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1
ZNF423_Epithelialcells	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	1
HIRA_Epithelialcells	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1
OAS3_Epithelialcells	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1
PARP12_Epithelialcells	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1
CECR5_Epithelialcells	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0	1	1
DDX60_Epithelialcells	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1
USP18_Epithelialcells	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1
HERC6_Epithelialcells	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1
SLC15A3_Epithelialcells	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1
APOL6_Epithelialcells	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1
PSTPIP2_Epithelialcells	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1
STXBP6_Epithelialcells	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1
APOL3_Epithelialcells	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1
PARP9_Epithelialcells	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1
RABEP1_Epithelialcells	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1
CCDC117_Epithelialcells	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
RNF213_Epithelialcells	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1
CREBRF_Epithelialcells	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0
TAP2_Epithelialcells	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0
ALYREF_Epithelialcells	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1
SEMA6D_Epithelialcells	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1
CMPK2_Epithelialcells	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1
LOC283070_Epithelialcells	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0
FAM43A_Epithelialcells	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1
ERAP2_Epithelialcells	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1
LOC389831_Epithelialcells	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1
DDIT4L_Epithelialcells	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1
PDE3A_Epithelialcells	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	1
LINC00116_Epithelialcells	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1
PPARGC1B_Epithelialcells	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0
CD99L2_Epithelialcells	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1
SLC6A20_Epithelialcells	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1
KIF26A_Epithelialcells	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1
KIF13A_Epithelialcells	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0
CAMK1D_Epithelialcells	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1
GGT6_Epithelialcells	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1
DEGS2_Epithelialcells	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1
ODF3B_Epithelialcells	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1
TRIM69_Myeloids	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1
SH3BP5_Myeloids	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0
LIPA_Myeloids	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0
C1QB_Myeloids	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	0
PLEK_Myeloids	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0
TNFRSF1B_Myeloids	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1
IGFBP6_Myeloids	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1
CYBB_Myeloids	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1
CCL4_Myeloids	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0
TYROBP_Myeloids	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0
FCER1G_Myeloids	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	0
CDK14_Myeloids	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1
FAS_Myeloids	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0
IL10RA_Myeloids	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0
MX2_Myeloids	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1
CCR1_Myeloids	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0
LCP2_Myeloids	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0
ISG15_Myeloids	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1
TFEC_Myeloids	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0
CCR2_Myeloids	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	1	0
TNFSF8_Myeloids	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0
HCK_Myeloids	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0
IRF7_Myeloids	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1
CR1_Myeloids	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
CD200_Myeloids	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0
CD69_Myeloids	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0
OASL_Myeloids	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1
FYB_Myeloids	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	0
MSR1_Myeloids	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0
PTPRC_Myeloids	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0
MYO1F_Myeloids	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0
CCL8_Myeloids	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1
GPR65_Myeloids	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0
FCGR1B_Myeloids	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1
CD163_Myeloids	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0
FCGR1A_Myeloids	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1
SNX10_Myeloids	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0
SLAMF8_Myeloids	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0
PLA1A_Myeloids	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0
SLC15A3_Myeloids	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0
HERC5_Myeloids	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1
PSTPIP2_Myeloids	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0
SAMSN1_Myeloids	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0
TNFSF13B_Myeloids	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1
DOK3_Myeloids	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0
HCST_Myeloids	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	0
PRRX1_Myeloids	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1
IFIT2_Myeloids	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1
FAM43A_Myeloids	0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1
CD274_Myeloids	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0
PIK3R5_Myeloids	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0
FAM26F_Myeloids	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1
