id	GSM868549_NR	GSM868557_NR	GSM868561_NR	GSM868563_NR	GSM868565_NR	GSM868566_NR	GSM868571_NR	GSM868574_NR	GSM868579_NR	GSM868582_NR	GSM868584_NR	GSM868590_NR	GSM868591_NR	GSM1103639_NR	GSM1103643_NR	GSM1103645_NR	GSM1103647_NR	GSM1103659_NR	GSM1103664_NR	GSM3374353_NR	GSM3374354_NR	GSM3374357_NR	GSM3374359_NR	GSM3374360_NR	GSM3374361_NR	GSM3374363_NR	GSM3374367_NR	GSM3374371_NR	GSM3374373_NR	GSM3374374_NR	GSM3374375_NR	GSM3374376_NR	GSM3374377_NR	GSM3374378_NR	GSM3374382_NR	GSM3374387_NR	GSM3374392_NR	GSM3374400_NR	GSM3374402_NR	GSM3374403_NR	GSM3374406_NR	GSM3374408_NR	GSM868553_R	GSM868554_R	GSM868560_R	GSM868568_R	GSM868570_R	GSM868572_R	GSM868573_R	GSM868575_R	GSM868577_R	GSM868578_R	GSM868580_R	GSM868585_R	GSM868586_R	GSM868588_R	GSM1103623_R	GSM1103626_R	GSM1103630_R	GSM1103634_R	GSM1103635_R	GSM1103636_R	GSM1103650_R	GSM1103653_R	GSM3374362_R	GSM3374369_R	GSM3374396_R	GSM3374401_R	CGSM1103646_R	CGSM3374370_R	CGSM1103626_R	CGSM1103644_R	CGSM868570_R	CGSM3374401_R	CGSM868567_R	CGSM868585_R	CGSM1103633_R	CGSM1103650_R	CGSM3374414_R	CGSM868586_R	CGSM868555_R	CGSM868573_R	CGSM868560_R	CGSM3374362_R
COLEC11_Epithelialcells	6.0537299575521	6.07635337887682	6.26805589443282	6.10401917506836	6.09109691747753	6.11044968993572	6.1569519182745	6.25021750480657	6.2551778442179	6.11916869556457	6.24793765886692	6.16205555751557	6.18053932936173	6.28835335947202	6.13766353884279	6.3052040601473	6.22412072755686	6.24854139059609	6.0168471891455	6.27816793805837	6.25599583455614	6.16240770287096	6.11540673824594	6.254478157695	6.03328245843406	6.2376044103438	6.1490152157785	6.26560348064119	6.12763383800303	6.16709710640921	6.11591733659891	6.07076038306214	6.24493085967503	6.02809813219566	6.11272485281048	6.22121828239042	6.08723143343802	6.28569217905385	6.04189667738765	6.04037675940498	6.21390215322457	6.15524920824754	6.0669781667827	6.02926965456009	6.15844817069826	6.11603609260005	6.01732625820982	6.19303311996019	6.02451410103743	6.0952224218859	6.06043018038552	6.05614419879922	6.09830511397354	6.13617022109685	6.03535966870408	6.26391214079161	6.12558588701493	6.04655527066937	6.02996806478026	6.1088706689503	6.1303047276136	6.26341113670073	6.11555955417674	6.10358128771021	6.07064889876221	6.18076892712415	6.1252370824164	6.0534304547726	6.17712209211762	6.02221958773801	6.04742013632416	6.17509097961184	6.02239640779123	6.04991950384717	6.12848343725513	6.14581121348033	6.10319419033472	6.12280012758052	6.07433818534171	6.03561301448881	6.05401680130942	6.02789213518815	6.15610788941414	6.06963587607778
FAM43A_Epithelialcells	7.03488405756776	5.58589314584406	6.40653705418857	7.50998030049597	7.63401276323288	6.42817378457995	5.12854901027354	7.96470032012007	6.3686443327691	4.91162125337973	6.10119710046488	7.25693391210086	4.94936178037052	7.13911652160127	7.40168209491022	4.73326479634823	7.82707501131142	7.01921281330575	6.21819528557366	6.05019107744961	7.39493106590721	5.438773488996	7.86360508881013	6.65580506335301	6.72432898823022	7.24243725690608	7.54298268727375	5.10592083638091	4.55465012264448	5.06599071213644	5.29416767165745	6.40517847615094	5.23995124833133	5.17142057372382	6.49218649409227	6.06738098459262	5.03791734789893	6.53548087872308	7.85936878576257	7.9059302412863	5.20910941475509	7.87199748402264	7.83842501746771	7.85771964666934	7.1440846880544	7.46343319360325	7.86347329927186	7.54744127825157	7.78221504834423	7.17786716277139	6.86455530978641	7.00372471571371	7.1094662501775	7.14500030709519	7.68201779057125	7.57996724301486	5.48559923312067	7.83430243192384	7.95100868243748	7.41450430543169	7.71600779977986	7.41998434763755	7.01943962195554	6.93531049042014	7.89441105822232	7.47346022108314	7.58100979078925	6.51203673629869	7.46741723423397	4.63269317638171	7.8246504353919	7.88767623811725	7.87550488302224	6.49312174726529	6.58084298084916	7.11884529668114	5.09830220372786	6.97464412213011	7.41901445701684	7.67661198264458	5.0024763927331	7.83825735218035	7.15812147764699	7.86310504398925
PCDHB16_Epithelialcells	3.72236656837347	5.13419372852386	4.73523629639137	4.24127543863833	4.75777812189903	4.38469850891477	4.00561881734365	4.44227032601449	3.25845538748961	4.64119040225621	4.91099183263722	4.98527078805306	4.27867302662628	3.68486255576576	3.67957703393528	4.7108781900879	4.80850366420025	3.67128103938677	4.32563396470802	4.14608994298442	3.78212802506579	3.72086616265624	4.01094787659579	3.75859384335862	3.46545400041745	3.48769582850794	3.56857216913662	3.26216686413226	3.53924121650355	4.74148403536185	3.52329441533324	3.93985516740772	3.30119594069651	3.91455247506571	3.98781489567784	4.94492893863594	3.97830837002445	4.9565707711843	4.72914372924125	4.68486888980556	4.82615826408099	4.46317737210483	3.7651945901661	4.25942738901629	3.75512576957092	4.19452044601571	3.74377571643694	4.23512280356645	3.13354576782403	4.15554334827657	4.98473639558332	3.33840112718165	3.2610602484003	4.01912382874015	3.23112739013184	3.85636098355878	3.94428068827074	3.35568213959477	4.86565032109123	3.79879106803151	3.76957863640208	3.44829631409412	3.36430120556428	4.84828701120413	3.57094319911431	3.47371006407245	3.73280421376633	3.61679228514972	3.65032496480687	3.16520545121625	3.3909099064492	3.39847101174064	3.77389203213262	3.61754347957939	3.95164765251238	4.06951788048081	3.73573448669944	3.30809383642634	3.83397408106513	3.18939548608002	3.85185723360295	3.15652803896052	3.76463497746349	3.60451800730835
PCDHGA10_Epithelialcells	5.33009327164971	6.16226554887241	5.62769378018524	5.32841147514836	5.80314854663807	5.79147373728233	6.03843968927711	5.77871931028156	5.33016397277066	6.07284464674387	6.17697678164809	5.90229919734633	5.88345593105347	5.90490651226087	6.12525637080803	6.08280083322324	5.36476525361138	5.85910008104723	6.02331055902231	5.30496843216864	5.55160407627552	5.72393383453476	5.81892317195861	5.7155293735189	5.9531594073118	5.48512299491921	5.5804176744128	5.54655872927904	5.99287964011363	5.75465192816456	5.95429014721965	5.53746076764798	6.01034819752965	5.5170744529993	5.44911382533508	5.57205445045801	5.50445817153522	5.48828861187906	6.02797364707845	6.13661768487758	5.99939664713507	6.12913849279612	6.10995061905489	5.72751067208386	5.58031997636106	5.59753779916673	6.05129558491585	5.63206577680205	5.22163084627314	5.33784904665338	5.5273039465783	5.62912082945313	5.26147533500427	5.58567424311137	5.33228837904837	5.44050041732968	5.35020838618427	5.72918477995836	5.55389267811039	5.35416273064266	5.38078151584295	5.51643810365931	5.5168244928213	5.28507233585173	5.69729195110687	5.91471628530057	5.61274079101862	5.39168451764403	5.50158492147381	5.679422008558	5.74238316770345	5.49555085776947	6.02466175673464	5.39619686218541	5.64260114423096	5.57556201026274	5.32781794688391	5.51285640524319	6.12101100799533	5.29770590055492	5.4928092534393	5.25173968316135	5.55640911294312	5.7018881316583
PSMB9_Myeloids	10.4998395413067	10.5307680879807	10.6436489453839	10.4852545569512	10.4978259599153	10.7177692432888	10.6498426268669	10.5926420940683	10.5824107951052	10.4958969431541	10.5283614040352	10.5386850937059	10.5244990118501	10.5964817550502	10.5109562214603	10.5422614265864	10.5221272231268	10.7311970963392	10.5366057601838	10.5605476727909	10.5262640469354	10.543835210623	10.4799677853864	10.5127744074659	10.625156997163	10.7301058689377	10.5248427943517	10.5901488508624	10.4842643154189	10.4230114664304	10.5211053465349	10.5573708351434	10.550947121765	10.6276928892228	10.4960480534037	10.5278784492144	10.5302410405934	10.6160624800342	10.5294706780421	10.5154863873006	10.5175929362305	10.5186145473479	10.4866484563595	10.1491167175629	10.5605114484173	10.5037936246566	10.5301544860021	10.6326432453424	10.5295217899483	10.5044820425146	10.5040115898031	10.5417046061889	10.473256494551	10.5990032211121	10.544866477259	10.4998977971055	10.6019528554936	10.5192228088586	10.4592938162908	10.3043910255968	10.5197175269164	10.5485919347078	10.1491167175629	10.4749024856976	10.1491167175629	10.5137370888092	10.4688979409971	10.487264608371	10.5742575194687	10.4961762985947	10.5329436212679	10.3882915341923	10.5148451216408	10.4692180736122	10.5258554482402	10.5414086122449	10.6044396466165	10.1943932931409	10.1697506631611	10.5277900631923	10.561687127599	10.4850023406794	10.5097923424192	10.1491167175629
WISP3_Epithelialcells	3.78799082828891	4.50113897482539	6.07049931864139	6.24199039596359	3.73364591538397	3.69972535315068	6.13519110534794	5.87757534627622	3.69292710144208	3.66019632835382	6.07038358260512	6.45864631041338	6.00787089567284	4.3791562536951	3.98586588629185	4.39614934108657	3.85546445920404	3.72625959316628	3.87138696388584	4.76883492841967	5.68769254403382	4.94212425506783	4.64131907841802	4.46405507493991	4.99020951914374	4.98068377048784	4.48183473328268	5.07945668398756	5.17492823259003	5.63732985863095	5.20752793497393	5.93703050919345	5.99635086653519	4.82735264630962	4.69448942436125	4.43227288587412	4.86502627029243	5.51917669106294	5.91587352538158	5.98492820806256	4.76197006200581	5.90037976475594	3.6861011973025	3.89776586606386	3.69547063993019	3.80290266898199	3.66277276625	4.2352923468009	4.09637791270092	3.71360373828934	3.67147068017644	3.65681486851143	3.703574964351	3.68141676770117	3.73145653166739	3.71323595565751	4.08650177169904	4.17123112750082	4.36070848496304	4.28376790924427	3.98053906949407	6.54192646011752	5.96149052137218	5.99187657850763	4.5698250401414	4.78718923070449	4.41836785171362	4.56659795831616	4.25860079349786	4.85637988302481	4.21031384135437	4.27816440991199	3.62748999121884	4.50598881297321	5.91401219935515	3.6453249450899	4.06238524700851	5.96673967270983	5.89347780558779	3.73012376118313	3.7966924390443	4.13557652992491	3.70474961516578	4.60201934882709
MYO1F_Myeloids	10.6559640494642	10.5484053329654	10.6897779257268	10.6338672591458	10.684196376259	10.7284941171974	10.5064935586966	10.6646146790728	10.5607635781452	10.7000075261186	10.5355372768511	10.5289655503868	10.5110114960897	10.6434604349196	10.5269765245265	10.4815749363097	10.6301963347738	10.6558310269174	10.4965590730031	10.6465710467992	10.6386352219645	10.5112318290415	10.5334322058023	10.5453352748315	10.5461011180024	10.6285191649989	10.5155134923371	10.6310417054984	10.5225121620746	10.5485624869401	10.6825775600953	10.6789458457802	10.5143344935366	10.6753535730124	10.5229569057357	10.6021505810968	10.4911793439344	10.6758071125197	10.6110764449297	10.6423483493337	10.6859815345885	10.6527731496458	10.6318158334039	10.5305157217626	10.698673917751	10.6312655636486	10.6199152703972	10.6659645731464	10.6441388732573	10.6617421435243	10.7124491501469	10.6722806567828	10.6419740442326	10.6617198112919	10.5890974135292	10.6805452049955	10.6496242016906	10.6510794668074	10.6258278617672	10.6927447466489	10.6346646901339	10.6536525976443	10.7004437384267	10.6652195514301	10.678515310204	10.7036089919334	10.5111801067016	10.6218554414357	10.656714861577	10.5061547075695	10.6659781982893	10.64607326421	10.6533199023798	10.5787104358816	10.6701604218467	10.6498730335197	10.6040889961758	10.6916652038754	10.6412051660628	10.5685096638911	10.6940372092731	10.69816100156	10.6778902583576	10.6954191116401
KRT14_Epithelialcells	3.944142796085	3.90355678757915	3.80833424938507	3.94155649718808	3.87935892731337	3.8210303855296	4.06444877577134	3.82691277457015	3.93006242514114	4.17527469526005	4.30772717458763	4.00765607439395	3.96515880288527	4.28135135861351	3.89578294641121	4.15174195549567	3.7954858144831	4.23299534208677	4.10394191207436	4.25155738744594	3.99104872132661	4.01438046633173	3.82374640030213	4.01822398658469	4.08823911385787	3.91176342857561	4.23862650976975	4.10872202394658	4.25137439552377	4.08428495003057	4.2841773601583	4.279024572639	4.32741617172838	4.2663179021086	4.10569512389524	3.89155281555159	4.07963248945576	4.2354189294029	4.26548539902253	4.14282842187882	3.82148143932014	3.80872587302604	3.911454864713	4.08432332513733	3.92410444228653	3.89646919523851	3.83004703297968	4.14016254024491	3.80262053773167	3.88708546466784	3.87782158579618	3.92645611149418	3.8044670459122	3.93684833678964	3.76473265837213	4.00423666746807	4.0266934025593	3.80476793337945	3.96791419866	3.80909319555926	4.0331729789896	3.99160578221618	3.83772777291692	3.84726553988262	3.89670615188173	4.16982810336519	3.9145539324454	3.89643451170251	4.10099934600584	4.25319218741495	3.81048481916465	4.2618593813423	3.80081983063486	3.87827361011126	4.02961612352781	3.92312662811586	4.25635888348186	3.83439111808149	3.92517568026928	3.78838172887486	3.93864770885569	3.81374796352533	3.90796774791623	3.87167005456092
CD38_Bcells	10.8402573782254	10.4864387008027	10.6013462037405	10.524801422495	10.4802132285362	10.6775720676018	10.3536841226626	10.585884975239	10.3666519942418	10.7852503515397	10.3654506247022	10.5144380050246	10.5210176227203	10.5641210823635	10.3212239859873	10.4568059566943	10.4872631001019	10.5458426628731	10.288265498991	10.9227104240634	10.4739966055579	10.4238784490742	10.4322677215004	10.4261158439131	10.5925883956412	10.5563374988577	10.5488106976433	10.394577638745	10.4568040277922	10.5188957462027	10.6090130732724	10.4497845364544	10.9471934765613	10.524678954956	10.5057281396739	10.7045432779264	10.3071278602172	10.5632403042022	10.5397219516212	10.5867047568875	10.5669285133865	10.48849812189	10.5616684164114	10.54569255169	10.9202490517376	10.9405482132294	10.5337951275216	10.4947853396739	10.9384589373517	10.3829653608366	10.4929013236759	10.6611072243929	10.4813422241317	10.6249613890416	10.3555620721535	10.7256551845572	10.7741781984716	10.5567662210736	10.716607234715	10.9313461290444	10.7915951629031	10.5199313276725	10.8523521067568	10.71165645422	10.6713908223273	10.9219837289838	10.4658628560013	10.5121283494172	10.8987560299674	10.278908352219	10.6079476051067	10.9275663283935	10.5541600242756	10.5386829319313	10.5529109815962	10.6583645807652	10.4702896941148	10.8538902977043	10.5217282668607	10.3538441866099	10.768932137916	10.9149726862437	10.9386666538891	10.7224794345245
DGCR6_Epithelialcells	8.18496142216928	8.0289166272746	7.6445555480849	8.29247376781502	7.84174668595025	7.55834467310572	7.56134588468001	7.91671462243113	7.6129797507761	8.1534748400553	8.40083939321554	7.77487668817792	7.48155891865501	7.63125716639774	8.20390273661102	7.5043386724521	7.64312510866837	7.87774760788252	7.56617455658671	8.31727198279973	8.35820755748205	7.64614676350155	8.01533516968885	7.9506990405753	7.52251071515153	8.15070055281718	7.68187477597207	8.38753795582528	7.649017886252	7.53203735154265	7.57967742907069	7.52994543599781	8.0723571632346	7.63836383102316	7.95713460003119	7.65394284545594	7.75315977720413	8.0093388416263	7.96082109403107	8.05931166680906	7.71973933400601	8.10279994948611	8.10862532921263	8.2550355775564	8.10929082695398	8.25826079856066	7.65326219793561	7.84246240406065	7.97744498266016	7.86646038078724	8.04520348802509	7.85354985150731	7.48040545157709	7.90157590051391	8.32658153368091	8.16289254912546	8.30866618233303	8.25173675320595	8.36995064829437	8.2854490356802	7.84257751857593	7.57145652582364	8.31244572863635	7.90561867636603	8.1706999373708	8.33394479652792	7.78365252037531	7.71662940447129	7.96526888402955	8.14488582864543	8.27337795237813	8.01089680430591	7.64457783705453	7.7071698286646	8.37847894139209	7.89034644401252	8.31868184947019	8.31149550964314	8.29474032595723	8.31790538740478	8.17538555843238	7.97258492805707	8.09979413135826	8.17365796072919
