id	NR	R
GSM3374358_NR	0.98113721575458	0.0171416534343257
GSM3374379_NR	0.55051444101198	0.45034375768057
GSM1103629_NR	0.103990311572806	0.895951185003333
GSM3374398_NR	0.97643401898799	0.0218234526054966
GSM868583_NR	1.00093809892808	-0.002523087573472
GSM3374411_NR	1.29422104581411	-0.296887509799507
GSM3374355_NR	1.02684009287401	-0.0310874789887572
GSM1103627_NR	1.02387568999573	-0.0280900241095618
GSM3374388_NR	-0.0068969064074258	1.00734167286347
GSM1103655_NR	-0.062393224192828	1.06343301535009
GSM868587_NR	0.977214358720496	0.0210413771062786
GSM1103631_NR	1.02707180776149	-0.0313202456328728
GSM868550_NR	1.02290504442826	-0.0271345692807253
GSM1103660_NR	1.03718937888986	-0.0413804942380537
GSM1103632_NR	0.668784238328782	0.330157562035553
GSM1103654_NR	0.263890436217622	0.738127129740061
GSM868552_NR	-0.00689690222761419	1.00734166867436
GSM1103648_NR	1.02705143650254	-0.031299781910175
GSM3374394_NR	1.95930870029436	-0.965402051678485
GSM3374372_NR	1.76000081726896	-0.763018943827287
GSM1103662_NR	-0.00689690607208249	1.0073416725266
GSM3374404_NR	2.01746395664302	-1.02386105106314
GSM1103641_NR	0.262431424643354	0.739584859860001
GSM1103663_NR	0.943937888147997	0.0545677811165959
GSM868576_NR	0.977231129271661	0.0210245699315555
GSM868589_R	-0.00689690639949042	1.00734167285557
GSM868562_R	-0.0255895228919828	1.02628606852979
GSM1103642_R	-0.00689686516523258	1.00734163143408
GSM868556_R	1.02578568427342	-0.0300161278262918
GSM3374415_R	0.368931517599177	0.634989042367539
GSM868581_R	-0.00689684640994748	1.00734161262798
GSM3374352_R	0.939578788354063	0.05876066301954
GSM1103628_R	-0.00687245866312286	1.00731733116936
GSM868558_R	-0.00689690292786305	1.00734166937167
GSM3374412_R	-1.21900113870178	2.23463799546943
GSM1103637_R	0.996750374610568	-0.00066003369322376
GSM1103638_R	-0.00680207757158741	1.00724641359805
GSM868593_R	1.16442282796619	-0.168977227818519
GSM868592_R	-0.0068968652493373	1.00734163151862
GSM1103625_R	0.547618178153072	0.451593604895148
GSM868559_R	-0.00689690610444949	1.00734167255982
GSM1103656_R	-0.00689690639797114	1.00734167285399
